"","NUME","CMR","Data","Temp"
"364","Oravita","Banat-Crisana","X1964.01.01",9.8903284072876
"365","Tg. Jiu","Oltenia","X1964.01.01",9.96884918212891
"366","Ramnicu Valcea","Oltenia","X1964.01.01",9.32137012481689
"367","Semenic","Banat-Crisana","X1964.01.01",5.81367111206055
"368","Curtea de Arges","Muntenia","X1964.01.01",8.77008247375488
"369","Buzau","Muntenia","X1964.01.01",10.433123588562
"370","Sulina","Dobrogea","X1964.01.01",10.9208221435547
"371","Tulcea","Dobrogea","X1964.01.01",10.8085203170776
"372","Gorgova","Dobrogea","X1964.01.01",10.8316984176636
"373","Braila","Dobrogea","X1964.01.01",10.5408763885498
"374","Tarcu","Banat-Crisana","X1964.01.01",4.66353416442871
"375","Campulung Muscel","Muntenia","X1964.01.01",7.81339740753174
"376","Resita","Banat-Crisana","X1964.01.01",9.761643409729
"377","Patarlagele","Muntenia","X1964.01.01",8.49739742279053
"378","Banloc","Banat-Crisana","X1964.01.01",10.3604106903076
"379","Parang","Oltenia","X1964.01.01",5.93753433227539
"380","Sinaia 1500","Muntenia","X1964.01.01",4.47591781616211
"381","Ramnicu Sarat","Muntenia","X1964.01.01",9.90926074981689
"382","Caransebes","Banat-Crisana","X1964.01.01",9.61010932922363
"383","Petrosani","Oltenia","X1964.01.01",6.5424656867981
"384","Vf. Omu","Muntenia","X1964.01.01",4.47591781616211
"385","Fundata","Muntenia","X1964.01.01",3.67473983764648
"386","Predeal","Muntenia","X1964.01.01",4.2665753364563
"387","Galati","Moldova","X1964.01.01",10.2830963134766
"388","Lugoj","Banat-Crisana","X1964.01.01",9.77849292755127
"389","Intorsura Buzaului","Muntenia","X1964.01.01",5.78901386260986
"390","Focsani","Moldova","X1964.01.01",10.2779455184937
"391","Brasov","TransilvaniaS","X1964.01.01",7.08520555496216
"392","Timisoara","Banat-Crisana","X1964.01.01",9.84643840789795
"393","Sibiu","TransilvaniaS","X1964.01.01",8.01032829284668
"394","Fagaras","TransilvaniaS","X1964.01.01",7.84504127502441
"395","Lacauti","TransilvaniaS","X1964.01.01",2.44328761100769
"396","Tecuci","Moldova","X1964.01.01",10.1499176025391
"397","Sf. Gheorghe","TransilvaniaS","X1964.01.01",6.72953414916992
"398","Deva","Banat-Crisana","X1964.01.01",9.04772567749023
"399","Sebes","TransilvaniaS","X1964.01.01",8.97158908843994
"400","Tg. Seciuesc","TransilvaniaS","X1964.01.01",6.72369861602783
"401","Sannicolau Mare","Banat-Crisana","X1964.01.01",9.88109588623047
"402","Alba Iulia","TransilvaniaS","X1964.01.01",9.0959997177124
"403","Baraolt","TransilvaniaS","X1964.01.01",6.65219163894653
"404","Adjud","Moldova","X1964.01.01",9.64306831359863
"405","Arad","Banat-Crisana","X1964.01.01",9.55391788482666
"406","Dumbraveni","TransilvaniaS","X1964.01.01",8.01345252990723
"407","Barlad","Moldova","X1964.01.01",9.63156127929688
"408","Tg. Ocna","Moldova","X1964.01.01",8.38810920715332
"409","Miercurea Ciuc","TransilvaniaS","X1964.01.01",5.43868494033813
"410","Chisineu Cris","Banat-Crisana","X1964.01.01",9.63479423522949
"411","Tg. Mures","TransilvaniaS","X1964.01.01",8.07800006866455
"412","Baisoara","TransilvaniaN","X1964.01.01",4.13684940338135
"413","Bacau","Moldova","X1964.01.01",8.930739402771
"414","Bucin","TransilvaniaS","X1964.01.01",4.22035598754883
"415","Vaslui","Moldova","X1964.01.01",8.72271251678467
"416","Stana de Vale","Banat-Crisana","X1964.01.01",4.37915086746216
"417","Joseni","TransilvaniaS","X1964.01.01",4.96630144119263
"418","Sarmasu","TransilvaniaS","X1964.01.01",7.51599979400635
"419","Holod","Banat-Crisana","X1964.01.01",9.27657508850098
"420","Vladeasa 1800","TransilvaniaN","X1964.01.01",4.16164398193359
"421","Cluj-Napoca","TransilvaniaN","X1964.01.01",8.25821876525879
"422","Negresti","Moldova","X1964.01.01",8.62860298156738
"423","Roman","Moldova","X1964.01.01",8.59235572814941
"424","Ceahlau Toaca","Moldova","X1964.01.01",6.28079462051392
